Open, High, Low, Close, Time, Volume, PivotType, PivotPrice, ChannelLow, ChannelHigh, BreakoutSignal, TradeCapital
0.00023895,0.00024332,0.0002356,0.000237,2024-01-21 01:00:00,557,PivotUndefined,-1,-65.96127490477292,-55.28354328382417,SignalUndefined,100
0.00024026,0.00024436,0.00023929,0.00024365,2024-01-21 05:00:00,610,High,0.00024436,402551.42939951486,294060.6893499388,SignalUndefined,100
0.0002408,0.0002408,0.00022706,0.00022707,2024-01-21 09:00:00,1480,PivotUndefined,-1,805168.8200739345,588176.6622431615,SignalUndefined,100
0.00022593,0.00023446,0.00022514,0.00023248,2024-01-21 13:00:00,8519,PivotUndefined,-1,1207786.2107483542,882292.635136384,SignalUndefined,100
0.00023278,0.00023351,0.00021833,0.00022766,2024-01-21 17:00:00,20198,Low,0.00021833,1610403.601422774,1176408.6080296068,SignalUndefined,100
0.00022322,0.00023251,0.00022238,0.00022706,2024-01-21 21:00:00,9003,PivotUndefined,-1,2013020.9920971936,1470524.5809228295,SignalUndefined,100
0.00022897,0.00023878,0.00022706,0.00023462,2024-01-22 01:00:00,3424,High,0.00023878,2415638.382771613,1764640.553816052,SignalUndefined,100
0.00023462,0.00023728,0.00022845,0.00022845,2024-01-22 05:00:00,4350,PivotUndefined,-1,2818255.773446033,2058756.5267092746,SignalUndefined,100
0.00022845,0.00023045,0.00021521,0.00021837,2024-01-22 09:00:00,11250,PivotUndefined,-1,3220873.1641204525,2352872.499602497,SignalUndefined,100
0.0002212,0.00022155,0.00021485,0.00021799,2024-01-22 13:00:00,2388,PivotUndefined,-1,3623490.554794872,2646988.47249572,SignalUndefined,100
0.00021795,0.0002202,0.00020667,0.00020934,2024-01-22 17:00:00,7276,PivotUndefined,-1,4026107.945469292,2941104.4453889425,SignalUndefined,100
0.00020842,0.00021095,0.00020542,0.00020717,2024-01-22 21:00:00,1860,PivotUndefined,-1,4428725.336143711,3235220.418282165,SignalUndefined,100
0.00020422,0.00020942,0.00020216,0.00020942,2024-01-23 01:00:00,1351,PivotUndefined,-1,4831342.72681813,3529336.3911753874,SignalUndefined,100
0.00020774,0.0002106,0.0002052,0.00020584,2024-01-23 05:00:00,2326,PivotUndefined,-1,5233960.11749255,3823452.36406861,SignalUndefined,100
0.00020578,0.00020622,0.00018405,0.0001844,2024-01-23 09:00:00,9071,PivotUndefined,-1,5636577.50816697,4117568.336961833,SignalUndefined,100
0.0001844,0.00019346,0.00018358,0.00019035,2024-01-23 13:00:00,3588,Low,0.00018358,6039194.898841389,4411684.309855056,SignalUndefined,100
0.00019078,0.00019772,0.00018957,0.00019772,2024-01-23 17:00:00,3597,PivotUndefined,-1,6441812.289515809,4705800.282748278,SignalUndefined,100
0.00019772,0.00020794,0.00019635,0.00020664,2024-01-23 21:00:00,3573,PivotUndefined,-1,6844429.680190229,4999916.2556415,SignalUndefined,100
0.00020512,0.00020866,0.00020508,0.00020866,2024-01-24 01:00:00,1322,PivotUndefined,-1,7247047.070864649,5294032.228534724,SignalUndefined,100
0.00020602,0.00020849,0.00020285,0.00020849,2024-01-24 05:00:00,1147,PivotUndefined,-1,7649664.461539068,5588148.201427946,SignalUndefined,100
0.00020482,0.00021418,0.00020482,0.00021189,2024-01-24 09:00:00,2035,PivotUndefined,-1,8052281.852213488,5882264.174321169,SignalUndefined,100
0.0002119,0.00021233,0.00020572,0.00020602,2024-01-24 13:00:00,4461,PivotUndefined,-1,8454899.242887907,6176380.147214391,SignalUndefined,100
0.0002056,0.00021558,0.0002056,0.00021274,2024-01-24 17:00:00,5676,PivotUndefined,-1,8857516.633562326,6470496.120107614,SignalUndefined,100
0.00021045,0.00022827,0.00020995,0.00022763,2024-01-24 21:00:00,4556,PivotUndefined,-1,9260134.024236746,6764612.093000837,SignalUndefined,100
0.00022628,0.00022818,0.00022038,0.00022049,2024-01-25 01:00:00,1563,PivotUndefined,-1,9662751.414911166,7058728.065894059,SignalUndefined,100
0.00022237,0.00023245,0.00021997,0.0002236,2024-01-25 05:00:00,8465,High,0.00023245,10065368.805585586,7352844.038787282,SignalUndefined,100
0.0002236,0.00022466,0.00022129,0.00022132,2024-01-25 09:00:00,1416,PivotUndefined,-1,10467986.196260005,7646960.011680504,SignalUndefined,100
0.00022132,0.00022361,0.00021883,0.00021955,2024-01-25 13:00:00,2408,PivotUndefined,-1,10870603.586934425,7941075.9845737275,SignalUndefined,100
0.00021955,0.00022907,0.00021667,0.00022315,2024-01-25 17:00:00,17902,Low,0.00021667,11273220.977608845,8235191.95746695,SignalUndefined,100
0.00022351,0.00024389,0.00022213,0.00023749,2024-01-25 21:00:00,14813,PivotUndefined,-1,11675838.368283264,8529307.930360174,SignalUndefined,100
0.00023757,0.000251,0.00023617,0.00024317,2024-01-26 01:00:00,39203,PivotUndefined,-1,12078455.758957684,8823423.903253397,SignalUndefined,100
0.00024383,0.00025437,0.00023232,0.00025028,2024-01-26 05:00:00,24873,High,0.00025437,12481073.149632104,9117539.876146618,SignalUndefined,100
0.0002487,0.00025207,0.00022887,0.00025205,2024-01-26 09:00:00,29077,PivotUndefined,-1,12883690.540306523,9411655.849039841,SignalUndefined,100
0.00024985,0.00024985,0.00023567,0.00024606,2024-01-26 13:00:00,15764,PivotUndefined,-1,13286307.930980943,9705771.821933065,SignalUndefined,100
0.00024674,0.00025293,0.00023988,0.000241,2024-01-26 17:00:00,15220,PivotUndefined,-1,13688925.321655363,9999887.794826286,SignalUndefined,100
0.0002415,0.00025536,0.00023795,0.00024973,2024-01-26 21:00:00,10892,PivotUndefined,-1,14091542.712329783,10294003.76771951,SignalUndefined,100
0.00025273,0.00025819,0.00024628,0.00025819,2024-01-27 01:00:00,5728,PivotUndefined,-1,14494160.103004202,10588119.740612732,SignalUndefined,100
0.00025814,0.0002649,0.00025612,0.00025758,2024-01-27 05:00:00,7294,PivotUndefined,-1,14896777.493678622,10882235.713505955,SignalUndefined,100
0.00025758,0.00026118,0.00024914,0.00026118,2024-01-27 09:00:00,7935,PivotUndefined,-1,15299394.884353042,11176351.686399177,SignalUndefined,100
0.00026326,0.00032373,0.00026326,0.00031994,2024-01-27 13:00:00,96524,PivotUndefined,-1,15702012.275027461,11470467.6592924,SignalUndefined,100
0.00031994,0.00032284,0.00028107,0.00030856,2024-01-27 17:00:00,84992,PivotUndefined,-1,16104629.665701881,11764583.632185623,SignalUndefined,100
0.0003085,0.0003166,0.00030024,0.00031399,2024-01-27 21:00:00,45906,PivotUndefined,-1,16507247.0563763,12058699.605078844,SignalUndefined,100
0.00031534,0.00036941,0.00030665,0.00036,2024-01-28 01:00:00,96122,High,0.00036941,16909864.44705072,12352815.577972068,SignalUndefined,100
0.00036004,0.00036575,0.00034137,0.00034693,2024-01-28 05:00:00,75182,PivotUndefined,-1,17312481.83772514,12646931.55086529,SignalUndefined,100
0.00034926,0.00036199,0.00033801,0.00034799,2024-01-28 09:00:00,59784,PivotUndefined,-1,17715099.22839956,12941047.523758514,SignalUndefined,100
0.00034486,0.00034826,0.000319,0.00033044,2024-01-28 13:00:00,86756,PivotUndefined,-1,18117716.61907398,13235163.496651735,SignalUndefined,100
0.00033302,0.00033685,0.00031766,0.00032289,2024-01-28 17:00:00,62863,PivotUndefined,-1,18520334.0097484,13529279.469544958,SignalUndefined,100
0.00032048,0.00032301,0.00029377,0.00030737,2024-01-28 21:00:00,41589,Low,0.00029377,18922951.40042282,13823395.442438181,SignalUndefined,100
0.00030478,0.00032502,0.00030331,0.00032292,2024-01-29 01:00:00,43166,PivotUndefined,-1,19325568.79109724,14117511.415331403,SignalUndefined,100
0.00032277,0.0003417,0.00031865,0.00032845,2024-01-29 05:00:00,17443,PivotUndefined,-1,19728186.18177166,14411627.388224626,SignalUndefined,100
0.00032864,0.00033227,0.00031549,0.00031729,2024-01-29 09:00:00,21569,PivotUndefined,-1,20130803.572446078,14705743.36111785,SignalUndefined,100
0.00031889,0.00031895,0.0003011,0.00031524,2024-01-29 13:00:00,14627,Low,0.0003011,20533420.963120498,14999859.334011072,SignalUndefined,100
0.00031553,0.00034723,0.00031553,0.00033925,2024-01-29 17:00:00,21524,PivotUndefined,-1,20936038.353794917,15293975.306904294,SignalUndefined,100
0.00033925,0.00035271,0.00033776,0.00034653,2024-01-29 21:00:00,11435,High,0.00035271,21338655.744469337,15588091.279797517,SignalUndefined,100
0.00034499,0.00034903,0.00033694,0.00034059,2024-01-30 01:00:00,4826,PivotUndefined,-1,21741273.135143757,15882207.25269074,SignalUndefined,100
0.00033695,0.00033882,0.00033224,0.00033803,2024-01-30 05:00:00,6625,PivotUndefined,-1,22143890.525818177,16176323.225583963,SignalUndefined,100
0.0003365,0.00034015,0.00032569,0.00032921,2024-01-30 09:00:00,5897,PivotUndefined,-1,22546507.916492596,16470439.198477184,SignalUndefined,100
0.00032831,0.00033616,0.00031001,0.00033229,2024-01-30 13:00:00,10036,Low,0.00031001,22949125.307167016,16764555.171370408,SignalUndefined,100
0.00033229,0.00035808,0.00032559,0.00035601,2024-01-30 17:00:00,18797,High,0.00035808,23351742.697841436,17058671.14426363,SignalUndefined,100
0.00035601,0.00035806,0.00033931,0.00033931,2024-01-30 21:00:00,5541,PivotUndefined,-1,23754360.088515855,17352787.117156852,SignalUndefined,100
0.00034358,0.00034358,0.00032441,0.00032954,2024-01-31 01:00:00,4822,PivotUndefined,-1,24156977.479190275,17646903.090050075,SignalUndefined,100
0.00032954,0.00033388,0.00032658,0.00032726,2024-01-31 05:00:00,3587,PivotUndefined,-1,24559594.869864695,17941019.062943295,SignalUndefined,100
0.00033228,0.00033228,0.00032057,0.00032707,2024-01-31 09:00:00,3160,PivotUndefined,-1,24962212.260539114,18235135.035836518,SignalUndefined,100
0.0003266,0.0003266,0.00031511,0.00031607,2024-01-31 13:00:00,5806,PivotUndefined,-1,25364829.651213534,18529251.00872974,SignalUndefined,100
0.00031699,0.00032419,0.00031699,0.00032338,2024-01-31 17:00:00,2382,PivotUndefined,-1,25767447.041887954,18823366.981622964,SignalUndefined,100
0.00031937,0.00033195,0.00030287,0.00031752,2024-01-31 21:00:00,11762,PivotUndefined,-1,26170064.432562374,19117482.954516187,SignalUndefined,100
0.00031671,0.0003182,0.00030596,0.00031271,2024-02-01 01:00:00,769,PivotUndefined,-1,6397863.363952473,31595721.768811997,SignalUndefined,100
0.00030456,0.00031137,0.00030183,0.00030765,2024-02-01 05:00:00,2631,PivotUndefined,-1,6494799.52595723,32074445.32475377,SignalUndefined,100
