Date,Open,High,Low,Close,UpperBand,LowerBand,MiddleBand
1707228000000,124.82,126.06,123.04,124.85,147.54980860437731818181818182,122.77655503198631818181818182,135.16318181818181818181818182
1707228900000,124.8,125.8,124.11,124.53,147.01643776984176545454545455,121.65447132106732545454545455,134.33545454545454545454545455
1707229800000,124.61,124.97,118.1,119.02,147.33827766913628181818181818,119.44535869450008181818181818,133.39181818181818181818181818
1707230700000,119.12,123.74,118.6,120.12,147.53918625381907454545454545,117.72990465527183454545454545,132.63454545454545454545454545
1707231600000,120.28,120.69,107.61,108.8,148.95453672992771818181818182,113.62182690643591818181818182,131.28818181818181818181818182
1707232500000,108.82,113.05,107.04,111.2,149.24079747652676363636363636,110.82647525074596363636363636,130.03363636363636363636363636
1707233400000,111.11,112.51,106.59,112.15,148.82660305070909090909090909,108.70521513110909090909090909,128.76590909090909090909090909
1707234300000,112.26,121.5,112.25,119.15,147.50919328053071272727272727,108.05626126492383272727272727,127.78272727272727272727272727
1707235200000,119.07,119.3,114.04,114.76,146.46672234192820545454545455,106.88418674898088545454545455,126.67545454545454545454545455
1707236100000,114.63,117.47,113.85,114.99,144.90562869493691818181818182,106.12073494142671818181818182,125.51318181818181818181818182
1707237000000,114.96,115.93,112.58,113.08,143.36240890387097272727272727,105.26304564158357272727272727,124.31272727272727272727272727
1707237900000,113.01,114.04,110.56,111.09,141.52814927256040545454545455,104.47275981834868545454545455,123.00045454545454545454545455
1707238800000,110.91,112.92,110.3,111.07,139.35574650508829454545454545,104.04334440400261454545454545,121.69954545454545454545454545
1707239700000,111.08,112.93,108.09,111.09,137.09470039838149636363636364,103.83802687434577636363636364,120.46636363636363636363636364
1707240600000,110.99,110.99,108.82,110.11,134.82940054470060909090909091,103.68878127348120909090909091,119.25909090909090909090909091
1707241500000,110.11,112.07,105.77,107.05,133.02545759910192363636363636,103.05181512817080363636363636,118.03863636363636363636363636
1707242400000,106.9,108.74,103.0,105.13,131.41229087171506909090909091,102.21589094646674909090909091,116.81409090909090909090909091
1707243300000,104.93,105.24,100.12,100.7,129.63368738277291636363636364,101.05903988995435636363636364,115.34636363636363636363636364
1707244200000,100.75,104.18,100.65,101.42,129.30689204682612909090909091,99.39128977135568909090909091,114.34909090909090909090909091
1707245100000,101.53,105.69,101.3,102.64,128.36634382325412,98.33365617674588,113.35
1707246000000,102.48,103.5,99.79,101.01,127.04850247153852727272727273,97.39604298300692727272727273,112.22227272727272727272727273
1707246900000,101.01,101.45,97.15,99.18,125.74547375317232181818181818,96.35816261046404181818181818,111.05181818181818181818181818
1707247800000,99.12,100.05,95.28,98.56,124.13781940259288181818181818,95.57581696104348181818181818,109.85681818181818181818181818
1707248700000,98.64,99.39,97.51,99.25,122.12319857447191272727272727,95.29225597098263272727272727,108.70772727272727272727272727
1707249600000,99.28,103.0,99.21,101.56,120.85277098662432909090909091,94.97541083155748909090909091,107.91409090909090909090909091
1707250500000,101.51,108.0,101.51,106.58,119.09396871542942363636363636,95.50330401184330363636363636,107.29863636363636363636363636
1707251400000,106.51,108.37,106.0,107.85,119.03543097276962545454545455,95.47547811813946545454545455,107.25545454545454545454545455
1707252300000,107.88,108.94,106.36,108.0,118.76997505065162,95.45002494934838,107.11
